unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.59E+12,2020-06-08 00:00,BTC/USDT,9746.99,9800,9633,9782.01,40664.66413,395459395.8,485139
1.59E+12,2020-06-07 00:00,BTC/USDT,9666.85,9802,9372.46,9746.99,57952.84839,556919603.8,637766
1.59E+12,2020-06-06 00:00,BTC/USDT,9621.17,9735,9531.05,9666.3,32752.95089,315604867.2,435796
1.59E+12,2020-06-05 00:00,BTC/USDT,9788.14,9854.75,9581,9621.16,47788.05005,465200788.2,566062
1.59E+12,2020-06-04 00:00,BTC/USDT,9666.32,9881.63,9450,9789.06,57456.10097,557234945.6,665881
1.59E+12,2020-06-03 00:00,BTC/USDT,9518.02,9690,9365.21,9666.24,46252.64494,441928818,562784
1.59E+12,2020-06-02 00:00,BTC/USDT,10202.71,10228.99,9266,9518.04,108970.7732,1070060237,1004312
1.59E+12,2020-06-01 00:00,BTC/USDT,9448.27,10380,9421.67,10200.77,76649.12696,749707596.7,826964
1.59E+12,2020-05-31 00:00,BTC/USDT,9697.72,9700,9381.41,9448.27,48333.7864,461272298.9,651473
1.59E+12,2020-05-30 00:00,BTC/USDT,9426.6,9740,9331.23,9697.72,55665.27254,530598690.1,651290
1.59E+12,2020-05-29 00:00,BTC/USDT,9575.87,9605.26,9330,9427.07,57374.36296,542758086.6,593705
1.59E+12,2020-05-28 00:00,BTC/USDT,9204.07,9625.47,9110,9575.89,74110.78766,693930106.2,738725
1.59E+12,2020-05-27 00:00,BTC/USDT,8841,9225,8811.73,9204.07,68910.35551,624660855.8,662850
1.59E+12,2020-05-26 00:00,BTC/USDT,8900.35,9017.67,8700,8841.18,58299.77014,516455128.9,678304
1.59E+12,2020-05-25 00:00,BTC/USDT,8718.14,8979.66,8642.72,8900.35,62833.91095,553545285.9,733557
1.59E+12,2020-05-24 00:00,BTC/USDT,9179.01,9298,8700,8720.34,70379.86645,636787240.4,774088
1.59E+12,2020-05-23 00:00,BTC/USDT,9170,9307.85,9070,9179.15,43526.29697,400407195.6,512460
1.59E+12,2020-05-22 00:00,BTC/USDT,9067.51,9271,8933.52,9170,58943.13102,537847834.5,693694
1.59E+12,2020-05-21 00:00,BTC/USDT,9511.43,9578.47,8815,9068.65,108928.781,1002046266,951971
1.59E+12,2020-05-20 00:00,BTC/USDT,9775.13,9842,9326,9511.43,74923.73809,721190802.8,731189
1.59E+12,2020-05-19 00:00,BTC/USDT,9733.93,9897.21,9474,9775.53,78539.76045,760713946,773581
1.59E+12,2020-05-18 00:00,BTC/USDT,9681.11,9950,9464.23,9733.93,82006.60358,797622297.3,794292
1.59E+12,2020-05-17 00:00,BTC/USDT,9380.81,9888,9322.1,9680.04,68647.76432,663088800.8,722718
1.59E+12,2020-05-16 00:00,BTC/USDT,9315.96,9588,9220,9381.27,59587.62786,560547005,692028
1.59E+12,2020-05-15 00:00,BTC/USDT,9791.97,9845.62,9150,9316.42,115890.7615,1099721376,1055630
1.59E+12,2020-05-14 00:00,BTC/USDT,9309.35,9939,9256.76,9791.98,129565.3775,1247456798,1199530
1.59E+12,2020-05-13 00:00,BTC/USDT,8810.99,9398,8792.99,9309.37,92466.27402,839725720,869216
1.59E+12,2020-05-12 00:00,BTC/USDT,8562.04,8978.26,8528.78,8810.79,86522.78007,760195457.1,784859
1.59E+12,2020-05-11 00:00,BTC/USDT,8722.77,9168,8200,8561.52,168807.2518,1468392821,1367382
1.59E+12,2020-05-10 00:00,BTC/USDT,9539.1,9574.83,8117,8722.77,183865.182,1594996477,1565771
1.59E+12,2020-05-09 00:00,BTC/USDT,9800.02,9914.25,9520,9539.4,81950.67957,795001351.7,839384
1.59E+12,2020-05-08 00:00,BTC/USDT,9986.3,10035.96,9705,9800.01,100683.7964,997005843.7,967816
1.59E+12,2020-05-07 00:00,BTC/USDT,9143.4,10067,9021,9986.4,147154.6114,1409783462,1254835
1.59E+12,2020-05-06 00:00,BTC/USDT,9021.36,9395,8906.21,9142.92,105925.3024,972793508.5,1007661
1.59E+12,2020-05-05 00:00,BTC/USDT,8871.92,9118.58,8760,9021.83,76480.76534,683083018.9,812543
1.59E+12,2020-05-04 00:00,BTC/USDT,8894.15,8950,8522,8871.96,84418.51233,738343818.7,848802
1.59E+12,2020-05-03 00:00,BTC/USDT,8972.58,9200,8712,8894.16,90126.06564,808427095.9,877460
1.59E+12,2020-05-02 00:00,BTC/USDT,8825.67,9010,8753,8972.05,59002.08755,523838859.5,637884
1.59E+12,2020-05-01 00:00,BTC/USDT,8620,9059.18,8613.56,8826.96,91468.81506,805640126.6,865960
1.59E+12,2020-04-30 00:00,BTC/USDT,8778.58,9460,8401,8620,206277.2141,1839283907,1661554
1.59E+12,2020-04-29 00:00,BTC/USDT,7738.58,8952.89,7710.05,8778.57,183546.8875,1536390177,1433128
1.59E+12,2020-04-28 00:00,BTC/USDT,7773.51,7780,7659.12,7738.98,46302.75264,357391780.9,499414
1.59E+12,2020-04-27 00:00,BTC/USDT,7693.1,7792.02,7606,7774.62,65441.33958,504025811.7,637800
1.59E+12,2020-04-26 00:00,BTC/USDT,7539.03,7700,7480,7693.1,50522.61621,384202783.3,554480
1.59E+12,2020-04-25 00:00,BTC/USDT,7505,7705,7431.07,7538.67,43874.42773,331292050.8,521943
